idPlayer,kmeans_cluster,archetype,hierarchical_cluster,kda_ratio,headshot_rate,win_rate,entry_aggression,support_score,objective_score
2,0,Passive/Low Impact,3,0.6058558558558558,0.38222222222222224,0.38095238095238093,0.08316831683168317,0.07555555555555556,0.05940594059405941
3,2,Balanced Aggressor,1,1.221243808475509,0.3710407239819004,0.5056179775280899,0.07436001625355547,0.015082956259426846,0.06989028850060952
6,2,Balanced Aggressor,0,1.22140221402214,0.3888888888888889,0.5384615384615384,0.1584852734922861,0.005208333333333334,0.03786816269284712
7,0,Passive/Low Impact,2,0.8301282051282052,0.3952380952380952,0.4375,0.05194805194805195,0.004761904761904762,0.08311688311688312
9,1,Support/Utility Player,3,1.4166666666666665,0.4425249169435216,0.5538461538461539,0.06526806526806528,0.0159468438538206,0.11072261072261073
10,3,Dominant Fragger,0,1.1653916768665853,0.5426658820067677,0.4991869918699187,0.14631456405857485,0.0296065017390811,0.049506770418479264
11,1,Support/Utility Player,3,0.9501230149854618,0.3307193077339102,0.5381165919282511,0.06974393530997305,0.04056246619794484,0.058793800539083556
12,2,Balanced Aggressor,0,1.1525885558583107,0.4198895027624309,0.5789473684210527,0.1193058568329718,0.008287292817679558,0.06290672451193059
14,0,Passive/Low Impact,2,0.5696887686062246,0.2356020942408377,0.34285714285714286,0.053227633069082674,0.018324607329842934,0.045300113250283124
19,2,Balanced Aggressor,1,1.2003054212267752,0.3692380056444026,0.42424242424242425,0.10716238381629306,0.019990592662276575,0.05813741570985967
20,3,Dominant Fragger,1,1.4667864957799313,0.44793438639125155,0.4804804804804805,0.12878239063806074,0.058059804590622356,0.06999164112566174
21,0,Passive/Low Impact,2,1.15,0.42021276595744683,0.3,0.049586776859504134,0.015957446808510637,0.04545454545454546
22,2,Balanced Aggressor,1,0.9825892857142856,0.436078431372549,0.463519313304721,0.08921551871474961,0.012287581699346404,0.04512049222355153
24,0,Passive/Low Impact,2,0.808,0.38461538461538464,0.3076923076923077,0.060240963855421686,0.02366863905325444,0.06927710843373493
26,3,Dominant Fragger,1,1.2856058689602832,0.4114967462039046,0.4690721649484536,0.12335494009035552,0.04186550976138829,0.06246317030053034
27,2,Balanced Aggressor,1,1.0472175379426645,0.5179211469534051,0.32142857142857145,0.0980392156862745,0.03421309872922776,0.06535947712418301
30,2,Balanced Aggressor,1,1.1491108071135432,0.4339622641509434,0.4117647058823529,0.09513513513513513,0.006738544474393531,0.04972972972972973
31,1,Support/Utility Player,3,1.1763392857142856,0.3504273504273504,0.4583333333333333,0.08051529790660227,0.034188034188034185,0.0821256038647343
33,1,Support/Utility Player,1,1.0716011421041072,0.37986860628812763,0.4642857142857143,0.0942310945694468,0.039183481933364614,0.06513280324818135
